\cite{gook}
Mass (A):  TKE (MeV): Average Neutron Multiplicity :	 Uncertainty
117.       151.        5.40432    1.51539
117.       153.        4.54965    0.983099
117.       155.        3.33416    0.648218
117.       157.        3.89595    0.600109
117.       159.        3.99924    0.501443
117.       161.        3.81497    0.395433
117.       163.        3.97751    0.328193
117.       165.        4.03978    0.273142
117.       167.        3.91391    0.218593
117.       169.        4.21003    0.204825
117.       171.        3.96599    0.163934
117.       173.        4.10054    0.144275
117.       175.        3.81044    0.120338
117.       177.        3.68129    0.103679
117.       179.        3.79947    0.0955001
117.       181.        3.54431    0.0812591
117.       183.        3.1935     0.0695602
117.       185.        3.41066    0.0688071
117.       187.        3.40325    0.0636757
117.       189.        3.20048    0.0592817
117.       191.        3.09127    0.0553122
117.       193.        2.99788    0.0532852
117.       195.        2.7638     0.0512103
117.       197.        2.5033     0.0511908
117.       199.        2.62822    0.0547238
117.       201.        2.34178    0.0544533
117.       203.        2.09996    0.0577641
117.       205.        2.02638    0.0649598
117.       207.        1.70129    0.069831
117.       209.        1.35588    0.0745723
117.       211.        1.31827    0.0934545
117.       213.        1.03017    0.108562
117.       215.        0.805262   0.135595
117.       217.        0.424514   0.138532
118.       145.        1.41576    0.866975
118.       147.        1.08957    0.656232
118.       149.        1.06603    0.644566
118.       151.        3.10221    0.98297
118.       153.        3.28159    0.780769
118.       155.        4.22989    0.786562
118.       157.        3.63266    0.613625
118.       159.        4.20568    0.548232
118.       161.        4.04579    0.436754
118.       163.        3.43867    0.312156
118.       165.        3.70147    0.286189
118.       167.        4.38608    0.274063
118.       169.        4.30821    0.226954
118.       171.        3.74427    0.17482
118.       173.        3.66625    0.144385
118.       175.        3.98401    0.133906
118.       177.        3.87161    0.119587
118.       179.        3.65441    0.105709
118.       181.        3.61895    0.0933398
118.       183.        3.63183    0.0844903
118.       185.        3.41833    0.0769311
118.       187.        3.4909     0.0732164
118.       189.        3.36955    0.0682057
118.       191.        3.36938    0.0652065
118.       193.        3.14351    0.0615271
118.       195.        3.01191    0.0596665
118.       197.        2.85675    0.0592904
118.       199.        2.72806    0.0605197
118.       201.        2.58133    0.061097
118.       203.        2.3355     0.0633989
118.       205.        2.17628    0.0682606
118.       207.        1.8095     0.0708502
118.       209.        1.82314    0.0855988
118.       211.        1.62778    0.099012
